category,title,description,location,price,start_time,end_time,duration,day_of_week
Judging,Grange Booth Judging,,Grange Booth, Free ,8/10/2026 10:00,8/10/2026 11:00,1,Mon
Judging,Open Class Food Judging,,Floral Hall, Free ,8/10/2026 11:00,8/10/2026 12:00,1,Mon
General,Special of the Day Grange,,Grange Booth, Free ,8/10/2026 12:00,8/10/2026 16:00,4,Mon
Racing,NYS Harness Racing,,Grandstand, Free ,8/10/2026 12:00,8/10/2026 13:00,1,Mon
Show,4-H Poultry Show,,4-H Building, Free ,8/10/2026 12:00,8/10/2026 13:00,1,Mon
Judging,Open Flower Show Judging,,Floral Hall, Free ,8/10/2026 12:00,8/10/2026 13:00,1,Mon
Ceremony,Opening Ceremonies,,Floral Hall, Free ,8/10/2026 13:00,8/10/2026 14:00,1,Mon
Sale,Open Class Baked Food Sale,,Floral Hall, Free ,8/10/2026 14:00,8/10/2026 18:00,4,Mon
Music,James Draudt,Back Porch Band Series,Floral Hall, Free ,8/10/2026 17:00,8/10/2026 19:00,2,Mon
Judging,4-H Flower/Vegetable Judging,,4-H Building, Free ,8/10/2026 17:00,8/10/2026 18:30,1.5,Mon
Contest,NYS Sanctioned Horse Pull,,Grandstand, Free ,8/10/2026 17:30,8/10/2026 19:00,1.5,Mon
Judging,Open Vegetable Judging,,Floral Hall, Free ,8/10/2026 19:00,8/10/2026 20:00,1,Mon
Contest,Grease Pole Qualifications,,Floral Hall, Free ,8/10/2026 19:00,8/10/2026 20:00,1,Mon
Music,Friar Tuck Band,,Entertainment Alley, Free ,8/10/2026 19:00,8/10/2026 21:30,2.5,Mon
Show,4-H Mini/Driving Horse Show,,Grandstand, Free ,8/11/2026 10:00,8/11/2026 11:30,1.5,Tue
Show,4-H Goat Show,,4-H Building, Free ,8/11/2026 11:00,8/11/2026 12:30,1.5,Tue
General,Special of the Day Grange Booth,,Grange Booth, Free ,8/11/2026 11:00,8/11/2026 15:00,4,Tue
Meeting,Stockholder Meet & Greet,,Floral Hall, Free ,8/11/2026 11:00,8/11/2026 12:00,1,Tue
Show,4-H Rabbit & Cavy Show,,4-H Building, Free ,8/11/2026 13:00,8/11/2026 14:00,1,Tue
Game,Spin to Win Wheel,,Commercial Building #1, Free ,8/11/2026 13:00,8/11/2026 17:00,4,Tue
Music,Innisfree Celtic Music Ensemble ,Back Porch Band Series,Floral Hall, Free ,8/11/2026 13:00,8/11/2026 15:00,2,Tue
Show,Open Draft Horse Show,,Grandstand, Free ,8/11/2026 14:00,8/11/2026 15:00,1,Tue
Contest,Open Beef Showmanship,,Cattle Barn, Free ,8/11/2026 14:00,8/11/2026 15:00,1,Tue
Show,Open Beef Show,,Cattle Barn, Free ,8/11/2026 15:00,8/11/2026 16:00,1,Tue
Exhibit,Gladiolus Show Opens to Public,,Floral Hall, Free ,8/11/2026 15:00,8/11/2026 19:00,4,Tue
General,Sensory Friendly Hours,,Sensory Tent, Free ,8/11/2026 16:00,8/11/2026 18:00,2,Tue
Activities,CCE Day Activities,,Cattle Barn, Free ,8/11/2026 16:00,8/11/2026 19:00,3,Tue
Show,4-H Dog Show,,4-H Building, Free ,8/11/2026 17:00,8/11/2026 18:00,1,Tue
Music,Anthony Blood,Back Porch Band Series,Floral Hall, Free ,8/11/2026 17:00,8/11/2026 19:00,2,Tue
Rides,RIDES OPEN,,Midway, Visit Ticket Booth ,8/11/2026 18:00,8/11/2026 23:00,5,Tue
Meeting,CCE Board Meeting,,Floral Hall, Free ,8/11/2026 18:15,8/11/2026 19:15,1,Tue
Judging,WC Fair Pie Contest Judging,,Floral Hall, Free ,8/11/2026 18:30,8/11/2026 19:30,1,Tue
Contest,Empire State Pullers Tractor Pull,,Grandstand, $15.00 ,8/11/2026 19:00,8/11/2026 21:00,2,Tue
Judging,Open Fruit Judging,,Floral Hall, Free ,8/11/2026 19:30,8/11/2026 20:30,1,Tue
Auction,Pie Contest Auction,,Floral Hall, Free ,8/11/2026 19:30,8/11/2026 20:30,1,Tue
Music,Cruel Summer Band Tribute to Taylor Swift,,Entertainment Alley, $6 Beer ,8/11/2026 19:30,8/11/2026 22:00,2.5,Tue
Show,4-H English Horse Show,,Horse Stables, Free ,8/12/2026 10:00,8/12/2026 11:30,1.5,Wed
Show,4-H Dairy Cattle Show,,Cattle Barn, Free ,8/12/2026 10:00,8/12/2026 11:30,1.5,Wed
Contest,Egg Drop Contest,,Floral Hall, Free ,8/12/2026 11:00,8/12/2026 12:00,1,Wed
Safety,Sheriff Child Safety Seat Check,,Floral Hall, Free ,8/12/2026 11:00,8/12/2026 13:00,2,Wed
General,Special of the Day,,Grange Booth, Free ,8/12/2026 12:00,8/12/2026 16:00,4,Wed
Judging,Open Fairy Garden Show Judging,,4-H Building, Free ,8/12/2026 12:00,8/12/2026 13:00,1,Wed
Contest,Youth Coloring Contest Royalty,,Floral Hall, Free ,8/12/2026 12:00,8/12/2026 16:00,4,Wed
Rides,RIDES OPEN,,Midway, Visit Ticket Booth ,8/12/2026 13:00,8/12/2026 18:00,5,Wed
Rides,Ride Bracelet Special,,Midway, $25.00 ,8/12/2026 13:00,8/12/2026 14:00,1,Wed
Contest,Watermelon Eating Contest,,Entertainment Alley, Free ,8/12/2026 13:00,8/12/2026 14:00,1,Wed
General,Sensory Friendly Hours,,Sensory Tent, Free ,8/12/2026 13:00,8/12/2026 14:00,1,Wed
Contest,Youth Corn Eatin' Competition,,Entertainment Alley, Free ,8/12/2026 14:00,8/12/2026 15:00,1,Wed
Show,4-H Beef Show,,Cattle Barn, Free ,8/12/2026 15:00,8/12/2026 16:30,1.5,Wed
Show,Fairy Garden Show,,4-H Building, Free ,8/12/2026 15:00,8/12/2026 16:00,1,Wed
Show,Open Rabbit/Cavy Show,,TBD, Free ,8/12/2026 16:00,8/12/2026 17:00,1,Wed
Activities,CCE Day Activities,,TBD, Free ,8/12/2026 16:00,8/12/2026 17:00,1,Wed
Music,Honey & Vinegar,Back Porch Band Series,Floral Hall, Free ,8/12/2026 17:00,8/12/2026 19:00,2,Wed
Game,Spin to Win Wheel,,Commercial Building #1, Free ,8/12/2026 18:00,8/12/2026 22:00,4,Wed
Music,Red 7 - Band,,Entertainment Alley, $6 Beer ,8/12/2026 19:00,8/12/2026 20:30,1.5,Wed
Contest,Grease Pole Qualifications,,Floral Hall, Free ,8/12/2026 19:00,8/12/2026 20:00,1,Wed
Racing,Figure 8 Racing,,Grandstand, $15.00 ,8/12/2026 19:00,8/12/2026 20:00,1,Wed
Music,Claudia Hoyser - musician,,Entertainment Alley, $6 Beer ,8/12/2026 21:00,8/12/2026 23:00,2,Wed
Show,4-H Western Horse Show,,Horse Stables, Free ,8/13/2026 10:00,8/13/2026 11:30,1.5,Thu
Food,Chicken BBQ Grange Booth,,Grange Booth, TBD ,8/13/2026 12:00,8/13/2026 14:00,2,Thu
Show,4-H and Open Sheep Show,,4-H Building, Free ,8/13/2026 12:00,8/13/2026 13:30,1.5,Thu
Judging,Open Flower Show Judging,,Floral Hall, Free ,8/13/2026 12:00,8/13/2026 13:00,1,Thu
Show,4-H and Open Swine Show,,Cattle Barn, Free ,8/13/2026 15:00,8/13/2026 16:30,1.5,Thu
Rides,RIDES OPEN,,Midway, Visit Ticket Booth ,8/13/2026 17:00,8/13/2026 18:00,1,Thu
Activities,CCE Day Activities,,TBD, Free ,8/13/2026 16:00,8/13/2026 20:00,4,Thu
Event,Our Tasting Event,,Entertainment Alley, $15.00 ,8/13/2026 17:00,8/13/2026 19:30,2.5,Thu
Music,Dave Turner,Back Porch Band Series,Floral Hall, Free ,8/13/2026 17:00,8/13/2026 19:00,2,Thu
Contest,Celebrity Goat Milking Contest,,Floral Hall, Free ,8/13/2026 18:00,8/13/2026 19:00,1,Thu
Show,Wayne County Fair Rodeo Branding,,Grandstand, Free ,8/13/2026 18:00,8/13/2026 19:00,1,Thu
Game,Spin to Win Wheel,,Commercial Building #1, Free ,8/13/2026 19:00,8/13/2026 23:00,4,Thu
Contest,Beat the Beast Bull Riders Tour,,Grandstand, $15.00 ,8/13/2026 19:00,8/13/2026 21:00,2,Thu
Music,Zac Brown Tribute Band ZBTB,,Entertainment Alley, Free ,8/13/2026 20:30,8/13/2026 23:30,3,Thu
Show,Open Dairy Show,,Cattle Barn, Free ,8/14/2026 9:00,8/14/2026 10:00,1,Fri
Show,4-H Gymkhana Horse Show,,4-H Building, Free ,8/14/2026 10:00,8/14/2026 11:30,1.5,Fri
General,Special of the Day,,Grange Booth, Free ,8/14/2026 12:00,8/14/2026 16:00,4,Fri
Judging,Open Dahlia Show Judging,,Floral Hall, Free ,8/14/2026 12:00,8/14/2026 13:00,1,Fri
Contest,4-H Milk & Cookie Contest,,Cattle Barn, Free ,8/14/2026 13:00,8/14/2026 14:30,1.5,Fri
Rides,RIDES OPEN,,Midway, Visit Ticket Booth ,8/14/2026 17:00,8/14/2026 23:00,6,Fri
Activities,CCE Day Activities,,TBD, Free ,8/14/2026 16:00,8/14/2026 17:00,1,Fri
Show,Wayne County Fair Open Barrel Racing,,Grandstand, Free ,8/14/2026 17:00,8/14/2026 18:30,1.5,Fri
Demo,Wayne County Sheriff K-9 Demo,,Floral Hall, Free ,8/14/2026 17:00,8/14/2026 18:30,1.5,Fri
Music,Andrew Young ,Back Porch Band Series,Floral Hall, Free ,8/14/2026 17:00,8/14/2026 19:00,2,Fri
Auction,4-H Livestock Auction,,4-H Building, Free ,8/14/2026 17:30,8/14/2026 19:00,1.5,Fri
Show,Open Gaming Horse Show,,Horse Stables, Free ,8/14/2026 17:30,8/14/2026 18:30,1,Fri
Game,Spin to Win Wheel,,Commercial Building #1, Free ,8/14/2026 18:00,8/14/2026 19:00,1,Fri
Contest,Grease Pole Qualifications,,Floral Hall, Free ,8/14/2026 19:00,8/14/2026 20:00,1,Fri
Dance,Round/Square Dancing-Dave Jacobs,,Entertainment Alley, Free ,8/14/2026 19:00,8/14/2026 20:30,1.5,Fri
Event,Demolition Derby,,Grandstand, $15.00 ,8/14/2026 19:00,8/14/2026 21:00,2,Fri
Music,M80s Band,,Entertainment Alley, $6 Beer ,8/14/2026 20:30,8/14/2026 23:00,2.5,Fri
Contest,Talent Showcase Contest,,Entertainment Alley, Free ,8/15/2026 9:00,8/15/2026 10:00,1,Sat
Show,Open Dressage Horse Show,,Grandstand, Free ,8/15/2026 9:00,8/15/2026 10:00,1,Sat
Show,Open Dairy Goat Show,,Cattle Barn, Free ,8/15/2026 9:00,8/15/2026 10:00,1,Sat
Contest,Central NY Garden Tractor Pull,,Grandstand, Free ,8/15/2026 10:00,8/15/2026 12:00,2,Sat
Contest,4-H Large Animal Super Showmanship,,4-H Building, Free ,8/15/2026 11:00,8/15/2026 12:30,1.5,Sat
Food,Chicken BBQ,,Grange Booth, Free ,8/15/2026 12:00,8/15/2026 13:00,1,Sat
Contest,Veggie Races,,Floral Hall, Free ,8/15/2026 12:00,8/15/2026 12:30,0.5,Sat
Rides,RIDES OPEN,,Midway, Visit Ticket Booth ,8/15/2026 13:00,8/15/2026 23:00,10,Sat
Rides,Ride Bracelet Special,,Midway, $25.00 ,8/15/2026 13:00,8/15/2026 23:00,10,Sat
Game,Spin to Win Wheel,,Commercial Building #1, Free ,8/15/2026 13:00,8/15/2026 14:00,1,Sat
Music,Wayne Community Band Concert,,Entertainment Alley, Free ,8/15/2026 13:00,8/15/2026 14:00,1,Sat
Contest,4-H Small Animal Super Showmanship,,4-H Building, Free ,8/15/2026 14:00,8/15/2026 15:30,1.5,Sat
Contest,Mullet & Facial Hair Competition,,Entertainment Alley, Free ,8/15/2026 14:30,8/15/2026 15:30,1,Sat
Parade,Wayne County Fair Parade,,Main Street to Fair, Free ,8/15/2026 16:00,8/15/2026 17:30,1.5,Sat
Music,Davey Allen ,Back Porch Band Series,Floral Hall, Free ,8/15/2026 18:00,8/15/2026 20:00,2,Sat
Show,Open Miniature Horse Show,,Grandstand, Free ,8/15/2026 17:00,8/15/2026 18:00,1,Sat
Contest,Adult Corn Eatin' Competition,,Entertainment Alley, Free ,8/15/2026 18:00,8/15/2026 19:00,1,Sat
Demo,Wayne County Sheriff K-9 Demo,,Floral Hall, Free ,8/15/2026 18:30,8/15/2026 20:00,1.5,Sat
Event,Black Cat Hell Driver Stunt Show,,Grandstand, $15.00 ,8/15/2026 19:00,8/15/2026 20:00,1,Sat
Music,State Line - Band,,Entertainment Alley, $6 Beer ,8/15/2026 20:30,8/15/2026 22:00,1.5,Sat
Show,Pleasure /Trail Open Horse Show,,Grandstand, Free ,8/16/2026 9:00,8/16/2026 10:00,1,Sun
Show,Open Meat Goat Show,,Cattle Barn, Free ,8/16/2026 9:00,8/16/2026 10:00,1,Sun
Show,4-H Costume Class,,4-H Building, Free ,8/16/2026 10:00,8/16/2026 11:00,1,Sun
Contest,Youth Pedal Tractor Pull,,Grandstand, Free ,8/16/2026 11:00,8/16/2026 12:00,1,Sun
Award,4-H Herdsmanship Award,,4-H Building, Free ,8/16/2026 11:00,8/16/2026 12:00,1,Sun
Contest,Bed Races,,TBD, Free ,8/16/2026 12:00,8/16/2026 13:00,1,Sun
Contest,Youth Coloring Contest Royalty,,4-H Building, Free ,8/16/2026 12:00,8/16/2026 13:00,1,Sun
Music,Worthy Duncan,Back Porch Band Series,Floral Hall, Free ,8/16/2026 13:00,8/16/2026 15:00,2,Sun
Rides,Ride Bracelet Special,,Midway, $25.00 ,8/16/2026 13:00,8/16/2026 14:00,1,Sun
Rides,RIDES OPEN,,Midway, Visit Ticket Booth ,8/16/2026 13:00,8/16/2026 14:00,1,Sun
Contest,Grease Pole Finals,,Floral Hall, Free ,8/16/2026 13:00,8/16/2026 14:00,1,Sun
Event,Demolition Derby,,Grandstand, $15.00 ,8/16/2026 15:00,8/16/2026 16:00,1,Sun
General,All Animal Exhibits Close,,Cattle Barn, Free ,8/16/2026 16:00,8/16/2026 17:00,1,Sun
Exhibit,"Animal, Flower, Fruit & Vegetable Exhibits",,Floral Hall, Free ,8/10/2026 10:00,8/10/2026 22:00,12,Mon
Exhibit,"Animal, Flower, Fruit & Vegetable Exhibits",,Floral Hall, Free ,8/11/2026 10:00,8/11/2026 22:00,12,Tue
Exhibit,"Animal, Flower, Fruit & Vegetable Exhibits",,Floral Hall, Free ,8/12/2026 10:00,8/12/2026 22:00,12,Wed
Exhibit,"Animal, Flower, Fruit & Vegetable Exhibits",,Floral Hall, Free ,8/13/2026 10:00,8/13/2026 22:00,12,Thu
Exhibit,"Animal, Flower, Fruit & Vegetable Exhibits",,Floral Hall, Free ,8/14/2026 10:00,8/14/2026 22:00,12,Fri
Exhibit,"Animal, Flower, Fruit & Vegetable Exhibits",,Floral Hall, Free ,8/15/2026 10:00,8/15/2026 22:00,12,Sat
Exhibit,"Animal, Flower, Fruit & Vegetable Exhibits",,Floral Hall, Free ,8/16/2026 10:00,8/16/2026 22:00,12,Sun
Exhibit,Home Arts Department Exhibits,,Floral Hall Annex, Free ,8/10/2026 10:00,8/10/2026 22:00,12,Mon
Exhibit,Home Arts Department Exhibits,,Floral Hall Annex, Free ,8/11/2026 10:00,8/11/2026 22:00,12,Tue
Exhibit,Home Arts Department Exhibits,,Floral Hall Annex, Free ,8/12/2026 10:00,8/12/2026 22:00,12,Wed
Exhibit,Home Arts Department Exhibits,,Floral Hall Annex, Free ,8/13/2026 10:00,8/13/2026 22:00,12,Thu
Exhibit,Home Arts Department Exhibits,,Floral Hall Annex, Free ,8/14/2026 10:00,8/14/2026 22:00,12,Fri
Exhibit,Home Arts Department Exhibits,,Floral Hall Annex, Free ,8/15/2026 10:00,8/15/2026 22:00,12,Sat
Exhibit,Home Arts Department Exhibits,,Floral Hall Annex, Free ,8/16/2026 10:00,8/16/2026 22:00,12,Sun
Exhibit,4-H Youth Building Exhibits & Crafts,,4-H Building, Free ,8/10/2026 10:00,8/10/2026 14:00,4,Mon
Exhibit,4-H Youth Building Exhibits & Crafts,,4-H Building, Free ,8/11/2026 10:00,8/11/2026 14:00,4,Tue
Exhibit,4-H Youth Building Exhibits & Crafts,,4-H Building, Free ,8/12/2026 10:00,8/12/2026 14:00,4,Wed
Exhibit,4-H Youth Building Exhibits & Crafts,,4-H Building, Free ,8/13/2026 10:00,8/13/2026 14:00,4,Thu
Exhibit,4-H Youth Building Exhibits & Crafts,,4-H Building, Free ,8/14/2026 10:00,8/14/2026 14:00,4,Fri
Exhibit,4-H Youth Building Exhibits & Crafts,,4-H Building, Free ,8/15/2026 10:00,8/15/2026 14:00,4,Sat
Exhibit,4-H Youth Building Exhibits & Crafts,,4-H Building, Free ,8/16/2026 10:00,8/16/2026 14:00,4,Sun
Exhibit,Wayne County Sheriff Operation Safe Child,Child IDs,Floral Hall, Free ,8/10/2026 10:00,8/10/2026 22:00,12,Mon
Exhibit,Wayne County Sheriff Operation Safe Child,Child IDs,Floral Hall, Free ,8/11/2026 10:00,8/11/2026 22:00,12,Tue
Exhibit,Wayne County Sheriff Operation Safe Child,Child IDs,Floral Hall, Free ,8/12/2026 10:00,8/12/2026 22:00,12,Wed
Exhibit,Wayne County Sheriff Operation Safe Child,Child IDs,Floral Hall, Free ,8/13/2026 10:00,8/13/2026 22:00,12,Thu
Exhibit,Wayne County Sheriff Operation Safe Child,Child IDs,Floral Hall, Free ,8/14/2026 10:00,8/14/2026 22:00,12,Fri
Exhibit,Wayne County Sheriff Operation Safe Child,Child IDs,Floral Hall, Free ,8/15/2026 10:00,8/15/2026 22:00,12,Sat
Exhibit,Wayne County Sheriff Operation Safe Child,Child IDs,Floral Hall, Free ,8/16/2026 10:00,8/16/2026 22:00,12,Sun
Food,Beer Garden Open,ID and wrist strap required,Entertainment Alley, $6 Beer ,8/10/2026 17:00,8/10/2026 23:00,6,Mon
Food,Beer Garden Open,ID and wrist strap required,Entertainment Alley, $6 Beer ,8/11/2026 17:00,8/11/2026 23:00,6,Tue
Food,Beer Garden Open,ID and wrist strap required,Entertainment Alley, $6 Beer ,8/12/2026 17:00,8/12/2026 23:00,6,Wed
Food,Beer Garden Open,ID and wrist strap required,Entertainment Alley, $6 Beer ,8/13/2026 17:00,8/13/2026 23:00,6,Thu
Food,Beer Garden Open,ID and wrist strap required,Entertainment Alley, $6 Beer ,8/14/2026 17:00,8/15/2026 0:00,7,Fri
Food,Beer Garden Open,ID and wrist strap required,Entertainment Alley, $6 Beer ,8/15/2026 17:00,8/16/2026 0:00,7,Sat
Rides,Horse Drawn Wagon Rides ,,Main Gate, Free ,8/11/2026 12:00,8/11/2026 16:00,4,Tue
Rides,Horse Drawn Wagon Rides ,,Main Gate, Free ,8/12/2026 12:00,8/12/2026 16:00,4,Wed
Rides,Horse Drawn Wagon Rides ,,Main Gate, Free ,8/13/2026 12:00,8/13/2026 16:00,4,Thu
Rides,Horse Drawn Wagon Rides ,,Main Gate, Free ,8/14/2026 12:00,8/14/2026 16:00,4,Fri
Rides,Horse Drawn Wagon Rides ,,Main Gate, Free ,8/15/2026 12:00,8/15/2026 16:00,4,Sat
Rides,Horse Drawn Wagon Rides ,,Main Gate, Free ,8/16/2026 12:00,8/16/2026 16:00,4,Sun
Show,The Flying Wallendas Ariel Act,,Midway, Free ,8/11/2026 14:00,8/11/2026 15:00,1,Tue
Show,The Flying Wallendas Ariel Act,,Midway, Free ,8/12/2026 14:00,8/12/2026 15:00,1,Wed
Show,The Flying Wallendas Ariel Act,,Midway, Free ,8/13/2026 14:00,8/13/2026 15:00,1,Thu
Show,The Flying Wallendas Ariel Act,,Midway, Free ,8/14/2026 14:00,8/14/2026 15:00,1,Fri
Show,The Flying Wallendas Ariel Act,,Midway, Free ,8/15/2026 14:00,8/15/2026 15:00,1,Sat
Show,The Flying Wallendas Ariel Act,,Midway, Free ,8/16/2026 14:00,8/16/2026 15:00,1,Sun
